id,v,b_v,v_abs
312,9.47,1.09,6.302657722102069
185,9.48,1.11,6.3126577221020685
179,9.52,0.93,6.352657722102068
337,9.53,1.14,6.3626577221020675
285,9.56,0.97,6.392657722102069
328,9.58,0.97,6.412657722102068
25,9.6,0.99,6.432657722102068
117,9.67,1.07,6.502657722102068
183,9.69,0.91,6.522657722102068
206,9.73,0.92,6.5626577221020685
259,9.81,1.18,6.642657722102069
220,9.82,1.14,6.652657722102068
324,9.83,1.06,6.662657722102068
319,9.85,1.0,6.682657722102068
320,9.87,0.99,6.702657722102067
318,9.91,1.12,6.742657722102068
151,9.93,0.95,6.762657722102068
229,9.94,0.99,6.772657722102068
186,9.98,1.4,6.8126577221020685
174,9.99,1.06,6.822657722102068
253,10.01,1.11,6.842657722102068
240,10.01,0.98,6.842657722102068
311,10.04,1.08,6.872657722102067
222,10.13,1.07,6.962657722102069
304,10.17,1.15,7.002657722102068
275,10.17,1.07,7.002657722102068
170,10.21,1.19,7.042657722102069
211,10.23,1.16,7.0626577221020685
175,10.3,1.03,7.132657722102069
181,10.32,1.17,7.152657722102068
273,10.43,1.1,7.262657722102068
231,10.48,1.18,7.3126577221020685
173,10.49,1.24,7.322657722102068
269,10.52,1.37,7.352657722102068
289,10.52,1.09,7.352657722102068
177,10.57,1.12,7.402657722102068
290,10.67,1.24,7.502657722102068
330,10.68,1.11,7.512657722102068
190,10.71,1.36,7.542657722102069
291,10.74,1.19,7.572657722102068
207,10.79,1.39,7.622657722102067
251,10.82,1.23,7.652657722102068
262,10.9,1.3,7.7326577221020685
326,10.91,1.28,7.742657722102068
344,10.94,1.17,7.772657722102068
357,10.97,1.12,7.802657722102069
288,11.02,1.22,7.852657722102068
191,11.03,1.29,7.8626577221020675
286,11.06,1.36,7.892657722102069
202,11.12,1.42,7.952657722102067
189,11.13,1.37,7.962657722102069
223,11.22,1.41,8.052657722102069
331,11.23,1.41,8.062657722102069
316,11.24,1.46,8.072657722102068
233,11.27,1.32,8.102657722102068
348,11.38,1.37,8.212657722102069
309,11.41,1.38,8.242657722102068
226,11.42,1.34,8.252657722102068
303,11.51,1.37,8.342657722102068
332,11.53,1.36,8.362657722102067
245,11.56,1.38,8.392657722102069
294,11.75,1.41,8.582657722102068
362,11.81,1.38,8.642657722102069
247,11.91,1.44,8.742657722102068
315,12.03,1.4,8.862657722102067
214,12.1,1.39,8.932657722102068
283,12.37,1.36,9.202657722102067
252,12.4,1.43,9.232657722102068
260,12.55,1.49,9.382657722102069
244,12.78,1.58,9.612657722102067
257,12.82,1.5,9.652657722102068
221,12.96,1.55,9.792657722102069
219,12.98,1.46,9.812657722102069
213,13.03,1.5,9.862657722102067
264,13.22,1.63,10.052657722102069
278,13.25,1.49,10.082657722102068
310,13.6,1.45,10.432657722102068
280,13.82,1.47,10.652657722102068
363,13.83,1.54,10.662657722102068
255,13.86,1.56,10.692657722102068
250,13.88,1.57,10.712657722102069
243,14.13,1.54,10.962657722102069
249,14.45,1.57,11.282657722102067
239,14.76,1.64,11.592657722102068
300,14.92,1.48,11.752657722102068
261,15.09,1.66,11.922657722102068
